civil_status,dob,name,occupation,party,political_career,religion
 : Married, : 22-01-1971,"Hon. J. SRI RANGA, M.P., , M.P.",,United National Party (UNP),, : Hindu
,,"Hon. N.SRI KANTHA, M.P.,, M.P.",,Illankai Tamil Arasu Kadchi (ITAK),, : Buddhism
 : Single, : 20-03-1914,"Hon. Soysa, Bernard, M.P.",,Lanka Sama Samaja Party (LSSP),,
 : None,,"Hon. Sri Pathmanathan, Ratnasabapathy, M.P.",,,,
 : Married,,"Hon. Sri Nissanka, Herbert, M.P.",,Independent (Ind),,
 : None,,"Hon. Soysa, Warusahennadige Abraham Bastian (Sir), M.P.",,,,
 : None,,"Hon. Spencer, Edgar Ernest, M.P.",,,,
 : Married, : 06-11-1950,"Hon. Soundranayagam, Ashley Nimalanayagam, M.P.",,Tamil United Liberation Front (TULF),,
 : None, : 24-07-1934,"Hon. Soosaithasan, Pilesiyan Sosai, M.P.",,Tamil United Liberation Front (TULF),,
 : None,,"Hon. Soundararajah, Gunaseelan, M.P.",,Independent (Ind),,
 : Married,,"Hon. Somaratne, Asokaweera, M.P.",,United National Party (UNP),,
 : Married, : 20-08-1929,"Hon. Somaratne, Senarath, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None, : 10-04-1927,"Hon. Somapala, Ilukpitiye Gedera Seneviratne Arachchige, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 14-08-1942,"Hon. SOLOMAN   S  CYRIL, M.P.", : Government Servant (Retaired),Illankai Tamil Arasu Kadchi (ITAK),, : Roman Catholicism
 : None,,"Hon. Somabandu, Hapugoda Rajapaksa Wannaku Mudiyanselage Gunapala, M.P.",,Lanka Sama Samaja Party (LSSP),,
 : Married, : 21-08-1934,"Hon. Sivathasan, Sangarapillai, M.P.",,Independent 2-J (Ind),, : Hindu
 : Married, : 26-03-1926,"Hon. Sivasithamparam, Thamotharampillai, M.P.",,Tamil United Liberation Front (TULF),, : Hindu
 : None, : 10-10-1903,"Hon. Sivapalan, Subramaniam, M.P.",,Tamil Congress (TC),,
 : Married, : 12-05-1962,"Hon. SIVANATHAN KISSOR, M.P.,, M.P.",,Illankai Tamil Arasu Kadchi (ITAK),, : Hindu
 : Married, : 13-09-1898,"Hon. Sittampalam, Cathiravelu, M.P.",,Independent (Ind),,
 : Married, : 28-06-1938,"Hon. Sivamaharasa, Sinnathamby, M.P.",,Tamil United Liberation Front (TULF),, : Hindu
 : Married, : 06-09-1906,"Hon. Siriwardena, Michael Paul de Zoysa, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 12-06-1898,"Hon. Siriwardena, Hector de Zoysa, M.P.",,United National Party (UNP),,
 : None, : 20-12-1926,"Hon. Sirisena, Wansapura Arachchige Ananda, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 16-10-1916,"Hon. Sirisena, Jasenthu Liyana, M.P.",,United National Party (UNP),,
 : None,,"Hon. Sirisena, Hewa Ggampolage, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 18-06-1960,"Hon. (Mrs.) MRS. SOMAKUMARI TENNAKOON, M.P.,, M.P.", : Business,People's Alliance (PA),-,
 : None,,"Hon. MR. S. AMARASINGHE, M.P.,, M.P.",,United People's Freedom Alliance(UPFA),, : Buddhism
 : Married, : 18-07-1946,"Hon. Siri Andrahennady, M.P.", : Attorney-at-Law and Notary Public,United National Party (UNP),"Chairman of the Town Council, Tangalle; Minister and a Member of the Southern Province Provincial Council 1994 - 1999;", : Buddhism
 : Married, : 03-01-1914,"Hon. Sirisena, Doolwala Galapitage Hemachandra, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 12-09-1958,"Hon. Sinnalebbe, Ahamed Rizvi, M.P.",,United National Party (UNP),, : Islam
 : None, : 16-11-1932,"Hon. Sinnalebbe, Abdul Latiff, M.P.",,United National Party (UNP),,
 : None, : 15-01-1918,"Hon. Silva, Wijeweera Goonawardene Mahavidanege Albert, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None, : 24-10-1897,"Hon. Singleton-Salmon, Robert, M.P.",,,,
 : None,,"Hon. Silva, Samson, M.P.",,United National Party (UNP),,
 : None, : 06-07-1896,"Hon. Silva, Sampathawaduge Stephen Anthony, M.P.",,Lanka Sama Samaja Party (LSSP),,
 : Married, : 02-06-1902,"Hon. Sinnalebbe, Ahamedlebbe (Mudaliar), M.P.",,United National Party (UNP),,
 : None, : 10-04-1927,"Hon. Silva, Palahennedi Hewage Charles, M.P.",,United National Party (UNP),,
 : Married, : 28-04-1923,"Hon. Silva, Kotturuge Pablis, M.P.", : Politician,,Lanka Sama Samaja Party Central Committee Member from 1945 - 1953;Central Committee Member- Sri Lanka Communist Party in 1955;General Secretary - Sri Lanka Communist Party in 1979., : Buddhism
 : Married, : 16-02-1943,"Hon. Silva, Hiripitiyage Maithripala Upatissa, M.P.",,United National Party (UNP),"As a student  led the UNP Youth orgranisations in the 1960 General Elections (March and June); as a youth organizer reorganized youth organsiations in Rakwana Electortate in 1965, 1970, 1977 General Elections.", : Buddhism
,,"Hon. Silva, Anthony Emmanuel, M.P.",,Tamil United Liberation Front (TULF),,
 : Married, : 16-05-1962,"Hon. (Alhaj) Shanmuganathan, Saravanabhavanadan, M.P.", : Business,,, : Hindu
 : Married, : 17-04-1953,"Hon. S.NIJAMUDEEN, M.P.,, M.P.", : Attorney-at-Law,United National Party (UNP),, : Islam
 : Single, : 21-06-1948,"Hon. RUKMAN SENANAYAKE, M.P.,, M.P.",,United National Party (UNP),Enterterd into the politics in 1973, : Buddhism
 : None, : 02-10-1904,"Hon. Shivasundaram, Appucutty, M.P.",,Federal Party (FP),,
 : Married, : 01-01-1932,"Hon. Alavi Moulana, M.P.",,People's Alliance (PA),, : Islam
 : Married, : 04-08-1948,"Hon. MR. S.A.R. MADDUMABANDARA, M.P.,, M.P.", : Farming ; Business,People's Alliance (PA),Active Member of S. L. F. P. since1962; Member of Parliament - 1989,
 : Married, : 25-05-1943,"Hon. S.JEGADHEESWARAN, M.P.,, M.P.",,United National Party (UNP),, : Hindu
 : Married, : 25-05-1940,"Hon. Seneviratne, Seneviratne Kannangarage Shirley Mahinda, M.P.",,United National Party (UNP),,
 : Married, : 01-01-1937,"Hon. Sennan, Veera, M.P.",,United National Party (UNP),, : Hindu
 : Divorced, : 24-10-1942,"Hon. Seneviratne, Dissanayake Mudiyanselage, M.P.", : Attorney - at - Law.,,"Member of Communist party - from 1962
Member of Sabaragamuwa provincial council - 1988 - 1997", : Buddhism
 : Married, : 23-04-1918,"Hon. Seneviratne, Cyril Pinto Jayatilake (Captain), M.P.",,United National Party (UNP),,
 : Married, : 19-12-1930,"Hon. Seneviratne, Nissanga Aratchilage, M.P.",,United National Party (UNP),,
 : Married, : 16-09-1965,"Hon. SENATHIRAJAH JEYANANDAMOORTHY, M.P.,, M.P.", : Teacher,Illankai Tamil Arasu Kadchi (ITAK),, : Hindu
 : Married, : 04-11-1911,"Hon. Senanayake, Richard Gothabhaya, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 19-11-1918,"Hon. Senanayake, Wilfred, M.P.",,Lanka Sama Samaja Party (LSSP),,
 : Married, : 17-07-1916,"Hon. Senanayake, Maithripala, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 08-08-1920,"Hon. Senanayake, Edward Lionel, M.P.",,United National Party (UNP),,
 : Single, : 19-06-1911,"Hon. Senanayake, Dudley Shelton, M.P.",,United National Party (UNP),,
 : Married, : 20-10-1884,"Hon. Rt. Hon. D.S. Senanayake, M.P.",,United National Party (UNP),,
 : Single, : 30-03-1933,"Hon. Senanayake, Dharmasiri, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None,,"Hon. Senanayake, Daisy Maria Florence (Mrs.), M.P.",,Lanka Sama Samaja Party (LSSP),,
 : None,,"Hon. Senanayaka, Ratna Deshapriya, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None,,"Hon. Senanayake, Arthur Hector, M.P.",,United National Party (UNP),,
 : Married,,"Hon. Senadheera, Daya Sepali (Mrs.), M.P.",,United National Party (UNP),,
 : Married, : 11-11-1956,"Hon. Senalankadhikara, Ganogdawilage Amal Divahantha, M.P.", : Business,,SLFP Chief organiser in Maharagama  -1991\r\nVice Chairman - Maharagama Pradeshiya sabhawa - 1991\r\nWestern Provincial council Member - 1993, : Buddhism
 : Married, : 02-09-1936,"Hon. Senadheera, Bandulahewa, M.P.",,United National Party (UNP),,
 : Married, : 20-05-1939,"Hon. Semasinghe, Appuhamige Herath Banda, M.P.", : Company Director,People's Alliance (PA),Anuradhapura district organiser - from 1977\r\nOpposition leader of North Central Provincial council, : Buddhism
 : Married, : 15-11-1972,"Hon. SILVASTRIE ALANTIN, M.P.,, M.P.",,United People's Freedom Alliance(UPFA),"Joined politics in 1992
Vice Chairman Pradesiya Saba - Karavetty
Co-ordinator -Minister of Social Services and Social Welfare", : Roman Catholicism
 : None, : 10-08-1936,"Hon. Selvanayagam, Princely Rajendran, M.P.",,Independent (Ind),,
 : Single, : 29-10-1974,"Hon. SELVARAJAH KAJENDREN, M.P.,, M.P.",,Illankai Tamil Arasu Kadchi (ITAK),, : Hindu
 : None,,"Hon. Selvanayagam, Kanapathy, M.P.",,Independent (Ind),,
 : Married, : 20-10-1917,"Hon. Sellathambu, Xavier Mark, M.P.",,Tamil United Liberation Front (TULF),,
 : None,,"Hon. Sebastianpillai, Edward, M.P.",,Independent (Ind),,
 : None,,"Hon. Selvadurai, Nevins, M.P.",,,,
 : Married,,"Hon. Schokman, Vivian Roy Stanley (Dr.), M.P.",,,,
 : Married, : 12-04-1864,"Hon. Schneider, Gualterus Stewart (Sir), M.P.",,,,
 : Married,,"Hon. Saravanamuttu, Ratnajoti (Dr.), M.P.",,,,
 : Married,,"Hon. Saravanamuttu, Naysum (Mrs.), M.P.",,,,
 : Married, : 28-12-1946,"Hon. S. KANAGARATNAM, M.P.,, M.P.", : Driving Instructor,Illankai Tamil Arasu Kadchi (ITAK),, : Hindu
, : 14-08-1946,"Hon. Sarath Mayadunne, M.P.,, M.P.",,Janatha Vimukthi Peramuna (JVP),,
 : Married, : 28-04-1964,"Hon. SARANA GUNAWARDENA, M.P., M.P.", : Businessman,United People's Freedom Alliance(UPFA),Provincial Council Member - 1993., : Buddhism
 : Married, : 29-10-1951,"Hon. (Dr.) SARATH WEERASEKARA, M.P., , M.P.",,United People's Freedom Alliance(UPFA),, : Buddhism
 : None,,"Hon. Sankaran, Kandiah, M.P.",,,,
 : Single, : 15-02-1961,"Hon. SANEE ROHANA KODITHUVAKKU, M.P., , M.P.", : Farming,United People's Freedom Alliance(UPFA),, : Buddhism
 : Married, : 30-06-1969,"Hon. SANATH JAYASURIYA, M.P., , M.P.",,United People's Freedom Alliance(UPFA),, : Buddhism
 : Married, : 15-03-1943,"Hon. Samaraweera, Weerawanni Mudiyanselage, M.P.",,United National Party (UNP),,
 : None, : 14-09-1952,"Hon. (Ven.) Samitha Thero, Baddegama Thero, M.P.",,,, : Buddhism
, : 14-09-1952,"Hon. (Ven.) Samitha Thero, Baddegama Thero, M.P.",,People's Alliance (PA),Member of Pradeshiya Sabha;  Member of Provincial Council., : Buddhism
 : Married, : 29-08-1948,"Hon. Samaraweera, Upali Delton, M.P.", : Businessman,Tamil United Liberation Front (TULF),Uva Provincial Council Membership and the Opposition Leadership  in the Democratic United Alliance for five years;,
 : Married, : 11-09-1921,"Hon. Samarawickrema, Arthur Edmund, M.P.",,United National Party (UNP),,
 : Married, : 08-03-1929,"Hon. Samaraweera, Polwatte Samaraweera Aratchilage Percy, M.P.",,United National Party (UNP),,
 : Married, : 17-02-1933,"Hon. Samsudeen, Aliuthuma Lebbe Mohamed, M.P.",,Sri Lanka Freedom Party(SLFP),, : Islam
 : Married,,"Hon. Samaraweera, Mahanama, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None, : 31-10-1916,"Hon. Samarasinghe, Galewattegedera Wijayasiri, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 10-02-1919,"Hon. Samarasekara, Senapala, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 12-11-1923,"Hon. Samaranayake, Richard Gregory, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 18-08-1940,"Hon. Samarasinghe, E.A., M.P.", : Attorney - at - Law.,,, : Buddhism
 : None,,"Hon. Samarasinghe, Don Senadira, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 25-07-1936,"Hon. Samaranayake, Punsiri Senaraja Perera, M.P.",,United National Party (UNP),,
 : None,,"Hon. Samarasinghe, Hudson, M.P.",,United National Party (UNP),,
 : None, : 17-07-1919,"Hon. Samarakkody, Stephen Walter, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married,,"Hon. Samarakkody, Siripala, M.P.",,,,
 : Married, : 19-04-1912,"Hon. Samarakkody, Edmund Peter, M.P.",,Lanka Sama Samaja Party (LSSP),,
 : Married,,"Hon. Saldin, Mohamed Khalid, M.P.",,,, : Islam
 : Married, : 20-12-1968,"Hon. S.A. JAYANTHA SAMARAWEERA, M.P.,, M.P.",,United People's Freedom Alliance(UPFA),, : Buddhism
 : None, : 13-04-1908,"Hon. (Dr.) Saddhasena, Maduwe Hewa, M.P.",,United National Party (UNP),,
 : Married, : 07-07-1961,"Hon. Sakalasuriya, Sakalasuriya Appuhamilage Sardathissa, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 02-05-1973,"Hon. SAJIN DE VASS GUNAWARDENA, M.P., , M.P.",,United People's Freedom Alliance(UPFA),Elected as member of the Southern Provincial Council from 2010, : Buddhism
 : None,,"Hon. Tutein-Nolthenius, Adrian Constant, M.P.",,,,
 : Married, : 25-09-1915,"Hon. Tudawe, Balaupasakage Yasodis, M.P.",,The Ceylon Communist Party ((CCP),,
 : Married, : 11-09-1925,"Hon. Tissera, Warnakulasuriya Philip Antony Protus, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 15-12-1954,"Hon. Tissakutti Arachchi, Gunapala, M.P.",,United National Party (UNP),,
 : Married, : 31-01-1944,"Hon. (Dr.) Tiruchelvam, Neelakandan, M.P.",,Tamil United Liberation Front (TULF),, : Hindu
 : Married, : 30-06-1964,"Hon. W.M.A. Sugath Tissera, M.P.", : Businessman,United National Party (UNP),Member Pradeshiya Sabha;  Member Provincial  Council ., : Roman Catholicism
 : Married, : 17-05-1961,"Hon. TISSA  ATTANAYAKE, M,P.,, M.P.",,United National Party (UNP),Entered into Politics as the Secretray of as the Secretary of Ududumbara Diyababala Youth Sociaty; Active politics from 1985  to-date as a Working Committee Member of UNP Youth League., : Buddhism
 : Married,,"Hon. TIRAN ALLES, M.P., , M.P.", : Company Chairman,Democratic National Alliance (DNA),, : Buddhism
 : Married, : 03-08-1929,"Hon. Tillekeratne, Wanniarachchige Don Stanley, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 02-08-1922,"Hon. Tikir Banda, Weerakoon Mudiyanselagedera Kumbure Gedera, M.P.",,United National Party (UNP),,
 : Married, : 20-07-1920,"Hon. Tillekeratne, Don Edwin, M.P.",,United National Party (UNP),,
 : None,,"Hon. Tilakaratne, Manikralage, M.P.",,United National Party (UNP),,
 : Married, : 04-04-1958,"Hon. Thaoufeek, Thideer, M.P.", : Physiotheraphist,United National Party (UNP),Working with S. L. M. C. since 1989., : Islam
 : Married, : 10-08-1930,"Hon. Thurairatnam, Kathiripillai, M.P.",,Tamil United Liberation Front (TULF),, : Hindu
 : Single, : 28-07-1956,"Hon. Thurairasasingham, Krishnapillai, M.P.",,Tamil United Liberation Front (TULF),, : Hindu
 : Widower, : 30-08-1913,"Hon. Thondaman, Vana Ena Kana Runa Savumiamoorthy, M.P.", : Agriculturist,United National Party (UNP),"Joined the Ceylon Indian Congress - 1939;
Elected President of the Ceylon - 1943;
Elected President of Ceylon Workers Congress  - 1953", : Hindu
 : Married, : 20-04-1952,"Hon. Thiviyanathan, Jeyaratnam, M.P.",,Tamil United Liberation Front (TULF),, : Roman Catholicism
 : Married, : 10-05-1952,"Hon. TISSA KARALLIYADDA, M.P.,, M.P.", : Agriculturist,United People's Freedom Alliance(UPFA),"1971 - 1974 Private Secretary to the Minister of Irrigation, Power & Highway; Participated in the S. L. F. P. Provincial Affairs in the Medawachchiya Electorate.", : Buddhism
 : Married, : 01-09-1933,"Hon. Thirunavukarasu, Thamodarampillai, M.P.",,Tamil United Liberation Front (TULF),, : Hindu
 : None,,"Hon. Thillainathan, K., M.P.",,Independent (Ind),,
 : None, : 01-07-1936,"Hon. Thilakasekara, Ryter, M.P.",,United National Party (UNP),,
 : Married, : 17-04-1916,"Hon. Thiagarajah, Arumugam, M.P.",,Tamil Congress (TC),,
 : None,,"Hon. Themis, Manuel Savariyappa, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None,,"Hon. Gamini Thilakasiri, Andarage Don, M.P.",,,,
 : Married, : 15-01-1951,"Hon. Thewarapperuma, Thewarapperuma Arachchilage Karunasinghe, M.P.",,People's Alliance (PA),-,
 : Married, : 20-01-1952,"Hon. Thavarajah, Sinnadurai, M.P.",,Eelam  People's Democratic Party (EPDP),, : Hindu
 : Single, : 18-07-1968,"Hon. Thangavel, Sinniah, M.P.",,Independent 2-J (Ind),, : Hindu
 : Single, : 28-02-1941,"Hon. Thangavadivel, Thambirajah, M.P.", : Land Use Officer.,Tamil United Liberation Front (TULF),-, : Hindu
 : Married, : 17-01-1936,"Hon. Thangathurai, Arunasalam, M.P.",,Tamil United Liberation Front (TULF),, : Hindu
 : None,,"Hon. Thambugala, Thambugala Athukoralalage Sumanatissa, M.P.",,,,
 : Married, : 10-11-1917,"Hon. Thambirajah, Somasuntheram, M.P.",,United National Party (UNP),,
 : Married, : 26-03-1912,"Hon. Tennekoon, Tikiri Banda, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 08-11-1903,"Hon. Thambiayah, Alfred Leo, M.P.",,Tamil Congress (TC),,
 : Married,,"Hon. Tennekoon, Roland Stephen, M.P.",,LabourParty (LP),,
 : None, : 31-12-1912,"Hon. Tennekoon, Reginald Wilfred, M.P.",,United National Party (UNP),,
 : Married, : 14-02-1938,"Hon. Tennakoon, Yasaratne Bandara, M.P.", : Journalist,Sri Lanka Freedom Party(SLFP),Councillor of the Kandy Municipal Council from 1979 - 1989; SLFP Candidate for  the Medirigiriya Electorate in 1977;, : Buddhism
 : None,,"Hon. Tennekoon, Ran Banda, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 16-05-1917,"Hon. Tennekoon, Pathiraja Mudiyanselage Kapuruhamy, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None, : 11-08-1894,"Hon. Tenne, Henry Bernard, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 07-07-1967,"Hon. Tennakoon, Thilina Bandara, M.P.",,People's Alliance (PA),Chairman of the Pradeshiya Sabhava - 1997  ; Member of the Central Provincial Council - 1999.;  Served as a minister of the Central Provincial Council - 1999.,
 : Married, : 03-06-1917,"Hon. Tennakoon, Piyasena, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None, : 16-06-1934,"Hon. Tennakoon, Mudiyanse, M.P.",,Independent (Ind),,
 : None,,"Hon. Tambimuttu, Samuel Pennington Thavarasa, M.P.",,Tamil United Liberation Front (TULF),,
 : Married, : 30-08-1934,"Hon. (Prof.) TISSA  VITARANA, M.P.,, M.P.", : Medical Practitioner; Academician,United People's Freedom Alliance(UPFA),Parliamentary Member of LSSP since 1974;, : Buddhism
 : Married, : 26-06-1984,"Hon. (Mrs.) UPEKSHA SWARNAMALI, M.P.,, M.P.",,United National Party (UNP),"Active member of United National Party;
A leading member of the speech panel in Presidential Election companign,2010;
Member, Presidential Election observing team2010;
Member of Presidential Election campaign commitie in Gampaha District", : Christianity
 : Married, : 13-09-1913,"Hon. Unantenne, Punchi Banda, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None,,"Hon. Tambimuttu, Emmanuel Rasanayagam, M.P.",,,,
 : Married,,"Hon. Unamboowe, Ukku Banda, M.P.",,United National Party (UNP),,
 : Married, : 15-03-1973,"Hon. HUNAIS FAROOK, M.P.,, M.P.", : Attorney-at-Law,United People's Freedom Alliance(UPFA),, : Islam
 : Married, : 11-11-1911,"Hon. Udugama, Alexander Richard (Major-General), M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 19-12-1984,"Hon. UDITH LOKUBANDARA, M.P.,, M.P.",,United People's Freedom Alliance(UPFA),, : Buddhism
 : Married,,"Hon. VINAYAGAMOORTHI MURALIDARAN, M.P.,, M.P.",,United People's Freedom Alliance(UPFA),,
 : Married, : 22-01-1933,"Hon. Udayaratne, Wickrematilleke Wedaarachchilage Godfrey Wasantha, M.P.",,United National Party (UNP),,
 : Married, : 08-01-1948,"Hon. VIJITHA RANAWEERA, M.P.,, M.P.",,United People's Freedom Alliance(UPFA),, : Buddhism
 : Married, : 13-09-1941,"Hon. Vigneswaran, Kasilingam, M.P.", : Engineer,Independent 2-J (Ind),"Ardent supporter of the Federal Party from undergraduate days in early 1960; Acquinted with S.J.V. Chelvanakam, Dr. E.M.V. Naganatha; M. Thiruchelvam, QC, N.R. Rajavarothiam, S.M. Rasamanickam and A. Amirthalingam; Disillusioned with TULF after 1983/84.",
 : None,,"Hon. Vidyaratna, K.V. Samantha, M.P.",,United People's Freedom Alliance(UPFA),, : Buddhism
 : None, : 11-04-1968,"Hon. (Ven.) UDUWE DHAMMALOKA THERO, M.P., Thero, M.P.",,Jathika Hela Urumaya (JHU),, : Buddhism
 : None, : 18-05-1941,"Hon. (Ven.) UDAWATTE NANDA THERO, M.P., Thero, M.P.",,Jathika Hela Urumaya (JHU),, : Buddhism
 : None, : 28-12-1958,"Hon. VEN. KATHALUWE RATHANASEEHA THERO, M.P.,, M.P.",,Jathika Hela Urumaya (JHU),, : Buddhism
, : 28-01-1937,"Hon. (Ven.) ELLAWALA MEDHANANDA THERO, M.P., Thero, M.P.",,United People's Freedom Alliance(UPFA),, : Buddhism
 : None,,"Hon. (Ven.) APAREKKE PUNNANANDA  THERO, M.P., Thero, M.P.",,Jathika Hela Urumaya (JHU),, : Buddhism
 : None, : 02-02-1949,"Hon. (Ven.) KOTAPOLA AMARAKITTI  THERO, M.P., Thero, M.P.",,Jathika Hela Urumaya (JHU),, : Buddhism
 : None, : 14-09-1914,"Hon. Velupillay, Cannappen Velusingham, M.P.",,Ceylon Indian Congress (CIC),,
 : None,,"Hon. Veerasingham, Visvalingam, M.P.",,Independent (Ind),,
 : Married, : 20-10-1911,"Hon. Vanniasingham, Cumaraswamy, M.P.",,Federal Party (FP),,
 : None, : 17-09-1874,"Hon. Wimalasurendra, Devapoora Jinasena, M.P.",,Ceylon National Congress (CNC),,
 : Married,,"Hon. Wimalasena, Dahamkith Chandramani, M.P.",,United National Party (UNP),,
 : Married, : 29-09-1953,"Hon. Wimalasiri, Handunnetthi Rannulu, M.P.",,United National Party (UNP),,
, : 23-03-1914,"Hon. Wimalasena, Nanediri, M.P.",,United National Party (UNP),,
 : Married, : 13-06-1932,"Hon. Wimalanaga, Polwattegamage Osmund, M.P.",,Lanka Sama Samaja Party (LSSP),,
 : Married, : 15-06-1933,"Hon. Veerasingham, Anandasangaree, M.P.", : Attorney-at - Law,Tamil United Liberation Front (TULF),Chairman - Karachchi Village Council; Chairman - Kilinochchi Town Council; MP for Kilinochchi from 1970 - 1977; Re - elected to Kilinochchi 1977 - 1983; Vacated post Voluntarily; Elected MP for Jaffna District October 2000., : Hindu
 : Married, : 13-02-1944,"Hon. William, Thomas Thangathurai, M.P.",,Illankai Tamil Arasu Kadchi (ITAK),, : Roman Catholicism
 : None,,"Hon. Wille, George Alfred Henry, M.P.",,,,
 : Married, : 14-06-1924,"Hon. (Dr.) Wijeyeratne, Nissanka Parakrama, M.P.",,United National Party (UNP),,
 : Married, : 16-12-1922,"Hon. Wijetunga, Wijetunga Mudiyanselage Dingiri Banda, M.P.",,United National Party (UNP),,
 : Married, : 29-05-1925,"Hon. Wijewardane, Meeliyadde Devage Samarapala, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married,,"Hon. Wijewardene, Vimala, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None, : 21-06-1919,"Hon. Wijesuriya, Henry Edmund, M.P.",,United National Party (UNP),,
 : None, : 29-07-1929,"Hon. Wijesundara, Punchi Bandara, M.P.",,Lanka Sama Samaja Party (LSSP),,
 : Married, : 05-05-1932,"Hon. Wijesiri, Rankeththage Premachandra, M.P.",,United National Party (UNP),,
 : Married, : 10-07-1924,"Hon. Wijesinghe, Piyadasa, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married,,"Hon. Wijesiri, Lohini Mahesweri Eriyagama, M.P.",,United National Party (UNP),,
 : None, : 01-08-1920,"Hon. Wijesinghe, Mutukuda Arachchige Jayasinghe, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 08-10-1940,"Hon. (Dr.) Wijesekera, Gamini Chandra, M.P.",,United National Party (UNP),,
 : None, : 21-11-1923,"Hon. Wijesinghe, Kuruppu Appuhamillage Leelaratne, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married,,"Hon. Wijeratne, Ranjan, M.P.",,United National Party (UNP),,
 : Married, : 12-04-1934,"Hon. Wijeratne, Mahendra Surasinghe, M.P.", : Parliamentarian,United National Party (UNP),,
 : None, : 30-08-1927,"Hon. Wijeratne Banda, Kotugodelle Yapa Mudiyanselage, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 01-12-1938,"Hon. Wijeratna Banda, Jambugahapitiya Gedera, M.P.",,United National Party (UNP),,
 : Married, : 24-08-1960,"Hon. Wijenayake, Piyasiri, M.P.",,United People's Freedom Alliance(UPFA),, : Buddhism
 : Married, : 31-10-1909,"Hon. Wijemanne, Vincent Leonald, M.P.",,United National Party (UNP),,
 : Married, : 05-11-1934,"Hon. Wijekoon, Wijekoon Mudiyanselage Ukku Banda, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 26-07-1947,"Hon. Jayasundara Wijekoon, M.P.",,United National Party (UNP),Member of Parliament - 2000,
 : None,,"Hon. Wijekoon, Saranasiri Bandara, M.P.",,United National Party (UNP),,
 : Married, : 09-06-1919,"Hon. Wijegooneratne, Samaraweera Mudalige Don Reginald Valentine, M.P.",,United National Party (UNP),,
 : None, : 18-11-1904,"Hon. Wijayawardhene, Kotavila Vithanage Charles Justin, M.P.",,United National Party (UNP),,
 : Married, : 18-10-1944,"Hon. Wijayawardhana, Ranjan, M.P.",,United National Party (UNP),, : Buddhism
 : None, : 30-05-1916,"Hon. Wijayasinha, Wijayabahu, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married,,"Hon. Wickrematillake, Edward Dias, M.P.",,United National Party (UNP),,
 : Married,,"Hon. Wijayaratne, Edwin Aloysious Perera (Sir), M.P.",,Ceylon National Congress (CNC),,
 : Married,,"Hon. Wickrematillake, Charles Dias, M.P.",,United National Party (UNP),,
 : None, : 27-03-1918,"Hon. Wickremasinghe, Percy Abeywardhana, M.P.",,The Ceylon Communist Party ((CCP),,
 : Married, : 25-12-1899,"Hon. Wickremasinghe, Wilson Punnasoma Abeywardena, M.P.",,The Ceylon Communist Party ((CCP),,
 : Married, : 25-11-1942,"Hon. (Dr.) Wickremasinghe, Govinnage Wimal Padmasiri, M.P.",,United National Party (UNP),,
 : Married, : 15-02-1907,"Hon. Wickremasinghe, Doreen Winifred, M.P.",,The Ceylon Communist Party ((CCP),,
 : Married, : 07-01-1945,"Hon. Wickremasinghe, Dayananda Abeywardane, M.P.",,United National Party (UNP),,
