content,date,title
"The Chamber Management Information System (e-Chamber) was launched today. The Hon. Speaker Karu Jayasuriya made an announcement to this effect in the House at the beginning of the proceedings for the day.,Under this project a laptop computer each has been provided to the tables of all Hon. Members of Parliament. The intention of this is to assist the Members of Parliament to attend to their functions in Parliament, especially in the Parliament Chamber, further effectively and efficiently. These computers have been installed as “KIOSK” systems, and will facilitate to obtain all data necessary for the efficient functioning including internet and e-mail facilities, through the Wi-Fi network facility available in the Parliament Chamber.,The laptops of this project were received as foreign aid, while the needed software was developed by the Department of Information Systems & Management of the Parliament.,Members of Parliament can obtain services such as legislative information (Bills, Petitions, Questions, etc.), personal information (salary particulars, attendance details, etc.), Information with regard to the Business of the Day (Order Paper, Order of Business, Committee schedule, etc.) and archival information (Hansards, Committee Reports, etc.) via this system.,The Hon. Speaker requested the fullest cooperation of the Members of Parliament to provide these services for many years while wishing the facilities provided here will help them perform their parliamentary duties more easily and effectively.",22-08-2017,“e-Chamber” launched
"The eighth Conference of the Association of SAARC Speakers and Parliamentarians (ASSP) will take place from 04, to 06, October 2017 at the Hotel Hilton in Colombo, Sri Lanka.,The Association of SAARC Speakers and Parliamentarians was set up in 1992 with the vision to promote friendship and understanding amongst the peoples of South Asia, promote co-ordination and exchange of information among the Parliaments and Parliamentarians of SAARC countries and provide a forum for exchange of ideas and information on parliamentary procedures and practices of the region.,The first conference of the ASSP was held in India in 1995, followed by the second in Pakistan in 1997, the third in Bangladesh in 1999, the fourth in Sri Lanka in 2006, the fifth in India in 2011, the sixth in Pakistan in 2012, and the last one in Maldives in 2013.,The 08th Conference, organized by the Parliament of Sri Lanka, will bring together Speakers and Parliamentarians from the member countries of the South Asian Association for Regional Cooperation (SAARC).,The conference will be inaugurated by His Excellency Maithripala Sirisena, the President of Sri Lanka, and Hon. Ranil Wickremesinghe, Prime Minister and Minister of National Policies and Economic Affairs will deliver the key note address at the Opening Ceremony to be held on 04, October 2017. Hon. Karu Jayasuriya, MP, Speaker of Parliament will grace the occasion delivering the welcome speech at the inauguration.,This year’s Conference is expected to place particular emphasis on Sustainable Development Goals, as the main theme will be ‘Association of the SAARC Speakers and Parliamentarians’: a platform for the Parliamentarians of South Asia to work together to reach the 2030 agenda for Sustainable Development. The General Assembly also expects to hold discussions on “Promoting Parliamentary Diplomacy and Open Parliament in the age of digitalization” and “SAARC Parliamentarians’ role in preserving Cultural and Archaeological Heritage in South Asia Region”.,Meeting of the Women Parliamentarians’ Committee will be centred on the topic “Supporting Women to upheave themselves from poverty and build better futures for their communities.”,This year’s conference will also have the first ever meeting of the Young Parliamentarians’ Committee which will discuss on “Countering violent extremism among youth to prevent terrorism and empowering youth to combat human trafficking, modern slavery and illegal trafficking in drugs.”,The conference will be followed by an excursion to Kandy (Dalada Maligawa and Pinnawala Elephant Orphanage) on 06, October, arranged for the participants by the Parliament of Sri Lanka.",25-09-2017,Sri Lanka to host the Eighth Conference of the Association of  SAARC Speakers and Parliamentarians
"The Hon. Speaker endorsed the certificates on the three Bills related to Local Government Elections entitled ,, , and , on the 12, of October 2017 at the Parliament complex. These were passed by Parliament on the 9, of October 2017.,The Minister of Provincial Councils and Local Government, Hon. Faiszer Musthapha was also present at the occasion.",13-10-2017,Speaker signs the certificates of Bills related to Local Government Elections
"Auditor General’s Annual Report for the year 2016 was handed over to the Hon. Speaker Karu Jayasuriya by the Auditor General Mr Gamini Wijesinghe at the Parliament on the 27th of October 2017.,The Speaker commended the Auditor-General and his staff for taking action to appropriately prepare and handover this report expeditely.",30-10-2017,Handing over the Auditor General’s Report for year 2016 to Speaker Karu Jayasuriya
"Mr Priyantha Wickramasekara, a senior member of Parliament Sports Club, participated at the 20th Asia Masters Athletics Championship held in Rugao Olympic Ground, China from the 24th to 28th of September, 2017. He contested in the 500m walk, 400m, 400m hurdles and 400m relay events. Mr Wickramasekara was able to win First place (Gold Medal) in the 400m relay event and Third place (Bronze Medal) in the 400m hurdles event, thereby bringing immense honour to Sri Lanka and the Sri Lanka Parliament Sports Club.,From 2005, Mr Wickramasekara has participated in All-Island Masters Championships and Government Service (all-island) Athletic Championships, where he has won 3 Gold medals, 5 Silver medals and 8 Bronze medals to date.",25-10-2017,Parliament Sport Club’s Priyantha Wickramasekara shines at Asia Masters Athletics Championship
"In collaboration with the Strengthening Democratic Governance and Accountability Project (SDGAP) of USAID the second capacity development programme for the journalists of the Parliament was held successfully on 14th and 15th of July 2017 at Avani Kalutara. The programme was participated by 43 media personnel representing a variety of state and private Media Institutions.,Hon. Karu Jayasuriya, Speaker, Hon. Thilanga Sumathipala, Deputy Speaker and Chairman of Committees, Mr Dhammika Dasanayake, Secretary General of Parliament, Mr Neil Iddawala, Chief of Staff and Deputy Secretary General of Parliament, Ms Kushani Rohanadeera, Assistant Secretary General of Parliament, Mr Tikiri Jayathilake, Assistant Secretary General of Parliament, Ms Alena Tansey, Acting Director, Office of Governance and Vulnerable Populations, USAID and a panel of officials from the Parliament Secretariat were present at the workshop.,Similar to the first capacity development programme a wide range of areas related to Operating Principles of the Parliament of Sri Lanka, Services and logistics for journalists in Parliament and Reporting of Parliament were discussed at the programme.",18-07-2017,Second Capacity Development Programme for Journalists of the Parliament
"An awareness session on the United Nation’s Agenda in 2030 for Sustainable Development Goals was held on 22.03.2017 in Committee Room No. 01 of Parliament under the patronage of the Hon. Prime Minister, Ranil Wickramasinghe, for all the Members of Parliament.  Hon. Deputy Speaker, Thilanga Sumathipala, briefed on the objective of the Session and the Hon. Prime Minister briefed on the importance of sustainable development and the pathway of the country to achieve the goals.,Further, Hon. Speaker, Karu Jayasuriya, and Hon. Minister of Sustainable Development and Wildlife, Gamini Jayawickrama Perera, also briefed on the importance of the Select Committee on United Nation’s Agenda in 2030 for Sustainable Development Goals.",24-03-2017,Awareness session on the United Nations’ 2030 Agenda for Sustainable Development Goals
"Parliament of Sri Lanka’s official website (parliament.lk) became the most accoladed website at the “,” awards ceremony organized by the LK Domain Registry. The ceremony was held at the Galadari Hotel, Colombo on the 4th of April 2017. Parliament’s website received Gold for the Sinhala and Tamil categories, while gaining Silver for the Government category. It was also selected as the Most Popular Government Website.,This year’s competition was organized for the 7th time, and as in the past, winners were chosen based on the number of votes, web traffic and marks given by judges. Websites are judged on creativity, quality of graphics & design, artistry, technological expertise and the quality of the content, made available to the user. A total of more than 250 websites participated in the competition under 9 categories.  Parliament.lk has previously won at this competition in ,, ,, ,, , and ,.,Parliament.lk facilitates an additional communication channel in addition to the ,, for the public to communicate with Parliament. The website offers parliamentary information including Proceedings of the House, Member information, Acts & Bills, Questions, Committee information, Calendar, News, Statistics etc. Documents such as Hansard, Order Paper, Order Book, Addendum etc. can be downloaded via the site while a live webcast of proceedings is also available. Since the launch of the Sinhala & Tamil versions of the website in 2008, a great deal has been done to keep all three versions synchronized, providing the stakeholders with up-to-date information.,Many distinguished guests from the government and private sector graced the award ceremony. Secretary of the Ministry of Telecommunication and Digital Infrastructure, Mr Wasantha Deshapriya, was the Chief Guest.",05-04-2017,Highest number of awards for parliament.lk at “BestWeb.lk 2017” competition
"A diplomatic delegation led by His Excellency Yu Zhengsheng, Chairman of the National Committee of the Chinese People’s Political Consultative Conference (CPPCC) will be visiting the Parliament of Sri Lanka on Friday 7th April 2017 at 5.25 p.m. and a courtesy call on the Hon. Karu Jayasuriya, Speaker of the Parliament with a view to having a bilateral discussion.",31-03-2017,Visit of a Chinese Delegation to Parliament of Sri Lanka
"The Friedrich Naumann Foundation (FNF) who is currently working with the Parliament of Sri Lanka as a donor agency in the development of J.R. Jayewardene Centre as the J.R. Jayewardene Institute for Parliamentary Research and Training presented the Concept paper, Draft Bill and Architectural Concepts of the proposed Institute to the Hon. Prime Minister and Hon. Speaker on 23rd March 2017.,At the request of Hon. Karu Jayasuriya, Speaker the FNF agreed to facilitate the project and further to the Memorandum of Cooperation (MoC) signed between the Office of the Secretary General of Parliament and the FNF in 2016, a MoC for the year 2017 was signed on 14th March 2017.,The Primary objective of this project is to provide the necessary information needs and research material to Members of Parliament, Members of Provincial Councils and other Political Representatives including Members of local government Institutions. The Institution will also conduct several academic courses relevant to Parliamentarians leading to academic qualifications from affiliated universities.,Prof. Jayadeva Uyangoda, former Senior Professor in Political Science, University of Colombo and Mr. N. Selvakkumaran, Senior Lecturer, Faculty of Law, University of Colombo developed the concept paper and the draft Bill of the Institute in consultation with the Parliament Secretariat. A team of architects from MICDA Associates led by Senior Architect Mr. Murad Ismail prepared the initial concept, design and the plans for the Institute’s buildings and infrastructure facilities.,Mr. Neil Iddawala, Chief of Staff and the Deputy Secretary General of Parliament, Mr. Jagath Gajaweera Arachchige, Director Legislative Services, Mrs. Sagarica Delgoda, Country Representative of FNF, Mr. Vidya Abhayagunawardena, Programme Executive of FNF, Mr. N. Selvakkumaran and Mr. Murad Ismail were present at this event.",11-04-2017,The Concept Paper for the development of J. R. Jayewardene Institute for Parliamentary Research and Training was presented
"The attention of the Steering Committee of the Constitutional Assembly was drawn on several news items appearing in some newspapers about the proceedings of the Steering Committee and in particular to the prominent news items appeared in the Tamil language newspapers of the 05th April 2017 which stated that there was no necessity to a new constitution, and that amendments were sufficient.,These statements were attributed to the SLFP members in the Steering Committee led by Hon. Nimal Siripala de Silva.  Hon. Nimal Siripala de Silva did not attend the Steering Committee meeting held on 4th April 2017 since he had to be in the Chamber of Parliament to take part in another important debate relating to Transport Amendment Bill. Further, SLFP never took up that position, and this matter was clarified further today in the Steering Committee by Hon. Nimal Siripala de Silva.,The Steering Committee noted that these false news items may be calculated to cause mischievous. The Steering Committee has decided to move forward and finalize by making an interim draft Report of the Steering Committee shortly.,Secretary to the Steering Committee of the Constitutional Assembly and,Spokesman for the Steering Committee",05-04-2017,Constitutional Assembly - MEDIA RELEASE
"A high level delegation led by His Excellency Yu Zhengsheng, Chairman of the of the National Committee of the Chinese People’s Political Consultative Conference (CPPCC) visited Sri Lanka from 06th to 08th  April 2017 on an invitation extended by Hon. Karu Jayasuriya, MP, Speaker of the Parliament of Sri Lanka.,H. E. Yu Zhengsheng visited the Parliament of Sri Lanka on 07th April 2017 and held a bilateral meeting with the Hon. Speaker and the Leaders of Parliament.,Hon. Selvam Adaikkalanathan, MP, Deputy Chairman of Committees, Hon. Lakshman Kiriella, MP, Minister of Higher Education and Highways and Leader of the House of Parliament, Hon. Malik Samarawickrama, MP, Minister of Development Strategies and International Trade, Hon. Nimal Siripala de Silva, MP, Minister of Transport and Civil Aviation, Hon. John Amaratunga, MP, Minister of Tourism Development and Christian Religious Affairs and Minister of Lands, Hon. Gayantha Karunatileka, MP, Minister of Parliamentary Reforms and Mass Media and Chief Government Whip, Hon. Ravi Karunayake, MP, Minister of Finance, Hon. Dayasiri Jayasekara, MP, Minister of Sports, Hon. Douglas Devananda, MP, Hon. (Prof.) Ashu Marasinghe, MP, Mr. W. B. D. Dasanayake, Secretary General of Parliament, Mr. Neil Iddawala, Chief of Staff and Deputy Secretary General of Parliament and Mr. Esala Weerakoon, Secretary of Foreign Affairs attended the bilateral meeting representing Sri Lanka while Hon. (Ms.) Lin Wenyi, Vice-Chairwoman, CPPCC National Committee & Chairwoman of the Central Committee of the Taiwan Democratic Self-government League, Hon. Zhang Qingli, Vice-Chairman and Secretary-General, CPPCC National Committee, Hon. Sun Gan, Standing Committee Member and Chairman of the Committee for Handling Proposals, CPPCC National Committee, Hon. Wang Taihua, Standing Committee Member and Chairman of the Committee of Learning and Cultural and Historical Data, Hon. Liu Zhenmin, Vice-Minister, Ministry of foreign Affairs, H. E. Yi Xianliang, Chinese Ambassador represented the Chinese side.,Both Sri Lankan and Chinese dignitaries took this opportunity to emphasize the historical relations between the two countries and also discussed the future strategies on enhancing the existing bilateral relations.,The National Committee of the Chinese People’s Political Consultative Conference (CPPCC) donated Laptop Computers and Projectors to be used by Parliament and these Laptops will be installed in the Chamber to enable the Members to obtain information while attending the Parliamentary sessions.",18-04-2017,Visit of the Delegation from China
"The Regional Meeting of Young Parliamentarians of the Asia-Pacific will take place from 25, to 26, April 2017 at the Hilton Hotel in Colombo, Sri Lanka.,Jointly organized by the Inter Parliamentary Union (IPU), United Nations Development Programme (UNDP) and the Parliament of Sri Lanka, the Meeting will be on “the role of young parliamentarians in advancing inclusive and peaceful societies and preventing violent extremism.”,The Meeting will bring together young members of national parliaments from thirty-nine (39) countries in the Asia-Pacific region, as well as observers from selected youth organizations, networks and associations. Delegation of Sri Lanka will comprise of 20 young parliamentarians from United National Party (UNP), United People's Freedom Alliance (UPFA), Janatha Vimukthi Peramuna (JVP) and Illankai Tamil Arasu Kadchi (ITAK).,Hon. Ranil Wickremesinghe, Prime Minister and Minister of National Policies and Economic Affairs will deliver a key note address as the Chief Guest at the Opening Ceremony to be held on 25, April 2017. Hon. Karu Jayasuriya, MP, Speaker of Parliament will grace the occasion delivering the welcome speech at the inauguration.,The Conference is expected to place particular emphasis on preventing violent extremism (PVE), since the world has witnessed new waves of violent extremism in the recent years that have taken the lives of many innocent people. Actively engaging young people is imperative to prevent violent extremism and successfully implement the Sustainable Development Goals, especially Goal 16 – “promotion of peaceful and inclusive societies for sustainable development, the provision of access to justice for all, and building effective, accountable institutions at all levels.”,In light of this, the Regional Meeting of Young Parliamentarians will build awareness of PVE issues among policymakers, identify what young parliamentarians should do to tackle PVE, and propose how to increase communication and coordination between Parliaments and young people to prevent violent extremism.,The Meeting will be followed by an excursion to Kandy (Dalada Maligawa and Pinnawala Elephant Orphanage) arranged for the participants by the Parliament of Sri Lanka.",20-04-2017,Parliament of Sri Lanka to host “Regional Meeting of Young Parliamentarians of the Asia-Pacific”
"His Excellency the President by virtue of the powers vested in him by Section 2(3) of the Public Security Ordinance read with Article 70(1) of the Constitution has made a Proclamation to summon Parliament to meet on the 28th of April 2017 at 9.30 a.m. in order to keep the Parliament informed of an Order of declaration of essential services.,Gazette Extraordinary No. ,of 25th April 2017",27-04-2017,Summoning of Parliament by His Excellency the President
"The Regional Meeting of Young Parliamentarians of the Asia-Pacific was held from 25th to 26th April 2017 at the Hilton Hotel in Colombo, Sri Lanka.,This was organized by the Parliament of Sri Lanka in collaboration with the Inter Parliamentary Union (IPU), United Nations Development Programme (UNDP). The theme of this meeting was “Role of young parliamentarians in advancing inclusive and peaceful societies and preventing violent extremism.”,Young members of National Parliaments from thirty-nine (39) countries in the Asia-Pacific region, as well as observers from selected youth organizations, networks and associations were participated in the meeting. Delegation of Sri Lanka comprised of 20 young parliamentarians from the United National Party (UNP), the United People's Freedom Alliance (UPFA), the Janatha Vimukthi Peramuna (JVP) and the Illankai Tamil Arasu Kadchi (ITAK).,The inaugural session was graced by the presence of the Hon. Ranil Wickremesinghe, Prime Minister and Minister of National Policies and Economic Affairs, the Hon. Karu Jayasuriya, Speaker of the Parliament, the Hon. Saber Chowdhury, President of the Inter- Parliamentary Union and the Ms. Una McCauley, UN Resident Co-ordinator & UNDP Resident Representative.",04-05-2017,Regional Meeting of Young Parliamentarians of the Asia-Pacific
"The , was tabled for the perusal of the House by the Hon. Speaker today. It is due to be approved by Parliament on a future date.,Accordingly, the Hon. Members of Parliament are able to submit their views, proposals and amendments on the aforesaid draft on or before the 21st of June 2017. The Hon. Speaker announced that time can be allocated for a general discussion on the fundamentals of the Final Draft of the proposed Standing Orders on the 22nd of June 2017 if required. Thereafter, the proposed draft is expected to be formerly passed by the House on the first Sitting Week of the month of July.,The Speaker also tabled the ,, to be passed at a later date.",07-06-2017,Final Draft of the proposed Standing Orders presented to Parliament
"A Working Session of Officials of the Commonwealth Secretariat with the Chairpersons and Members of the Sectoral Oversight Committees on Women and Gender, Legal Affairs (anti-corruption) and Media and Reconciliation and North and East Reconstruction was held on 27th June, 2017 in Committee Room No. 1 of Parliament under the patronage of the Hon. Deputy Speaker, Thilanga Sumathipala.,The main focus of the event was “Parliamentarians and the protection and promotion of Human Rights” and former Deputy Chief Justice and Judge of the Constitutional Court of South Africa, Justice Dikgang Moseneke and Head of Human Rights of the Commonwealth Secretariat, Advocate Ms Karen Mckenzie delivered the presentations.",28-06-2017,Commonwealth Secretariat Working Session for Sectoral Oversight Committees
"Awareness Programme for the Honourable Members of the Committee & Workshop to Assess the Current Performance & Future Plans of Electronised Public Accounts Committee (E-PAC) Initiatives was conducted by the Parliament of Sri Lanka in collaboration with the Westminster Foundation for Democracy (WFD) with the participation of the Hon. Speaker of Parliament on 23, and 24, June 2017 at Hotel Jetwing Blue in Negombo.,Hon. Lasantha Alagiyawanna, Chairman of the Committee addressed at the event on the ‘Journey so far & way forward, an assessment’. Thereafter, Hon. Karu Jayasuriya, Speaker of the Parliament delivered the keynote speech for the gathering.,At this workshop, Mr. Dhammika Dasanayake, Secretary General of Parliament, Mr. Wasantha Deshapriya, Secretary to the Ministry of Telecommunication & Digital Infrastructure, Mr. K.A.T. K Jayathilake, Assistant Secretary General of Parliament (Legislative Services) and Mr. Mahesh Perera, Director, Information Systems & Management made presentations on various topics related to Implementation of EPAC.,Honourable Members of Committee, officials of Parliament of Sri Lanka and officials of several departments took part at this event.",28-06-2017,Workshop to Assess the Current Performance & Future Plans of Electronised Public Accounts Committee (E-PAC) Initiatives
"A Conference on Constitutional Reforms was held on 28th June, 2017 at the BMICH under the patronage of the Prime Minister, and Chairman of the Steering Committee of the Constitutional Assembly, Hon. Ranil Wickremesinghe.,This Conference is an effort to bring together Opinion leaders, key government officials, civil society and stake-holders from all over the island and to engage in creating awareness with regard to the nature, developments and way forward in the Constitutional Reforms process.,Venerable Maha Sanga, Former President Madam Chandrika Bandaranaike Kumaratunga, Honourable Ministers, Deputy Ministers and Members of Parliament and the Constitutional Assembly and Hon. Governors, Chief Ministers, and Leaders of the Opposition of the Provincial Councils graced this occasion.",03-07-2017,Conference on Constitutional Reforms
"Under the patronage of Hon Karu Jayasuriya, Speaker of the Parliament of Sri Lanka and in collaboration with the Strengthening Democratic Governance and Accountability Project (SDGAP) of USAID, the first in a series of capacity development programmes for the journalists of the Parliament was held on 16th and 17th of June, 2017 at The Heritance, Negombo and 41 Media personnel representing different state and private Media Institutions participated in the workshop.,The programme was chaired by Hon. Lasantha Alagiyawanna, Deputy Minister of Finance and Mass Media and was attended by Mr. Neil Iddawala, Chief of Staff and Deputy Secretary General of Parliament, Mr. Tikiri Jayathilake, Assistant Secretary General of Parliament and Ms. Danielle Reiff, Director, Office of Governance and Vulnerable Populations, USAID, Sri Lanka, along with a panel of officials from the Parliament Secretariat.,Sessions covering the basic Operating Principles of the Parliament of Sri Lanka, Services and logistics for journalists in Parliament and Reporting of Parliament were conducted by the Officials from the Parliament Secretariat. At the conclusion of the programme an interactive session was conducted to solicit information on needs and recommendations of the participating electronic and print media personnel. They welcomed the initiative taken by the Hon. Speaker to strengthen the Media Centre in Parliament and to open the Parliamentary Committee proceedings to the public.",29-06-2017,Capacity Development Programme for Journalists of the Parliament
A Memorandum of Understanding (MoU) was signed between the Parliament of Sri Lanka and the ICTA for a Document Management System (DMS) for Parliament on the 5th August 2016.,08-08-2016,MOU with ICTA for DMS for Parliament
"The Hon. Speaker endorsed the certificate on the Bill entitled , under the provisions of Article 79 of the Constitution of the Democratic Socialist Republic of Sri Lanka, on the 4, of August 2016 at the Speaker’s official residence.,The Bill was passed by Parliament on the 24, of June 2016.",08-08-2016,“Right to Information” becomes law
"Seminar on “Right to Information Act”, for the staff of the Secretary-General of Parliament was conducted by the Parliament of Sri Lanka in collaboration with the USAID-funded Sri Lanka Parliament Project on the 16, of August 2016, at Blue Waters Hotel in Wadduwa.,Objective of this seminar was to enhance the knowledge of the staff of the Parliament to go ahead with the Right to Information Act providing an opportunity to discuss;,The following were the resource persons for this seminar:-,Ms. Alena Tansey, Acting Director, Office of Government and Vulnerable Populations, USAID, Sri Lanka also graced the occasion and addressed the gathering.",18-08-2016,Seminar on “Right to Information Act” for the Staff of Parliament
" was chosen as one of the country’s best e-content applications in the category of , at the ‘e-Swabhimani National Best e-Content Award - 2016’ ceremony organized by the Information and Communication Technology Agency (ICTA) of Sri Lanka which was held at the Cinnamon Grand Hotel in Colombo on October 31st, 2016. This is the first time Parliament Mobile App was recognized as a winner at this competition since being , in January 2016., is an initiative of the ICTA aimed at recognizing excellence in digital content creation and was launched in 2009. The e-Swabhimani Award process is being conducted along the lines of the World Summit Award. The competition was conducted under different categories and winners were selected after evaluation by the Jurors.,The Jurors’ evaluation reads as follows: ,Mr. Mahesh Perera, Director, Information Systems & Management of Parliament received the Award from Mr. Kumarasinghe Sirisena, Chairman of Sri Lanka Telecom and Mr. Muhunthan Canagey, Managing Director/ Chief Executive Officer, ICTA.",02-11-2016,Parliament Mobile App receives Winner award at “e-Swabhimani 2016” award ceremony
"A delegation from the European Parliament and the European Parliament Secretariat visited Parliament of Sri Lanka on 1st November 2016. The delegation was chaired by Hon. Ms Jean Lambert, MEP.,The delegation paid a courtesy call on the Hon. Thilanga Sumathipala, Deputy Speaker, and was also conducted on a tour of Parliament.,       ",07-11-2016,Visit of the Members of the European Parliament
"Leading a high-level Sri Lankan Parliamentary delegation to the 135th Assembly of the Inter-Parliamentary Union (IPU) which was held from 23-27 October 2016 in Geneva, Hon. Karu Jayasuriya, Speaker of the Parliament of Sri Lanka addressed the General Debate on the morning of the 25th of October 2016. The theme of this year’s debate was ‘Human Rights abuses as precursors of conflict: Parliaments as early responders.’,The Sri Lankan delegation included Hon. Nimal Siripala De Silva, M.P., Minister of Transport and Civil Aviation, Hon. Vijitha Herath, M.P., Hon. (Mrs.) Rohini Kumari Wijeratne, M.P., Hon. Velu Kumar, M.P. and Mr. Dhammika Dasanayake, Secretary-General of Parliament.,Ambassador Ravinatha Aryasinha, Sri Lanka’s Permanent Representative to the UN in Geneva, Mrs. Samantha Jayasuriya, Deputy Permanent Representative and Ms. Sashika Somaratne, Counsellor were associated with the delegation.",01-11-2016,Speaker Karu Jayasuriya addresses the IPU Assembly in Geneva
"The Steering Committee appointed by the Constitutional Assembly held its 27th meeting today. The three main areas under discussion presently are: Electoral Reforms, devolution and the Executive. While extensive discussions have been held in respect of certain areas, no definite decisions will be made until all matters are fully considered.,The six sub-committees have also concluded their work. The Steering Committee will consider their reports before trying to reach consensus on all matters. In the process of reaching such consensus, details of discussions will not be made public for the time being. Once a consensus is reached, the Interim Report will be presented to the Constitutional Assembly, as envisaged in the Resolution of 09th March 2016 that set up the Constitutional Assembly. The Steering Committee will endeavor to submit the Interim Report to the Constitutional Assembly by November 2016.,Chief of the Staff and Deputy Secretary General of Parliament,& Secretary to the Steering Committee on Constitutional Assembly ,and Spokesperson to the Steering Committee",21-09-2016,Constitutional Assembly - PRESS RELEASE
" has been awarded to the lowest bidder M/s. Swedish Trading Audio Visual (Pvt) Ltd. for a total sum of Rs. 237,988,627.59 (with taxes).",10-11-2016,"Bid for Supply, Installation, Testing and Commissioning of Broadcast Quality CCTV System to the Main Chamber of Parliament"
"Meeting of the Constitutional Assembly will be held on Saturday, the 19th of November 2016 at 9.00 a.m. in the Chamber of Parliament and on this day, the Hon. Prime Minister will present the Sub-Committee Reports to the Constitutional Assembly which were submitted to the Steering Committee by the Sub-Committees.,Secretary to the Steering Committee ,Chief of the Staff and Deputy Secretary General,Parliament of Sri Lanka",17-11-2016,Constitutional Assembly - PRESS RELEASE
"A meeting of the Constitutional Assembly was held at 9.00 a.m. today in the Chamber of Parliament. The reports of the six Sub-Committees were presented to the Constitutional Assembly by the Chairman of the Steering Committee and Prime Minister and Minister of National Policies and Economic Affairs, Hon. Ranil Wickremesinghe. These reports were submitted to the Steering Committee by the respective Sub-Committees., (website of the Constitutional Assembly)",19-11-2016,Presentation of reports of the Sub-Committees of the Constitutional Assembly
"The finalized copy of the “Code of Conduct for Members of Parliament” was tabled and presented for the approval of the House by the Hon. Speaker today.,The objective of the Code of Conduct is to assist the Members of Parliament to exercise, perform and discharge by them of their powers, functions and duties in order to fulfil their responsibilities to the Parliament, to their constituents, and the public at large. It consists of thirteen parts which describes the duties of Members, rules of conduct, behaviour, procedure for inquiry, sanctions etc among others.,This was prepared with the assistance of the Legal Draftsman after taking into consideration all the comments and proposals submitted by the Hon. Members of Parliament.",10-12-2016,Parliament to adopt a Code of Conduct for Members
"Remains of Former Prime Minister, Late Hon. Ratnasiri Wickramanayaka, lay-in-state in Parliament today, the 28, of December. His body was brought to the Assembly Hall in the Parliament complex, where last respects were paid by the Hon. Speaker, Ministers, Members of Parliament, Diplomats and staff of the Parliament Secretariat.,Mr. Wickramanayaka was a senior politician who had a total of more than 36 years of Parliamentary service. He was first elected to Parliament (House of Representatives) in 1960 from the Horana electorate, and went on to hold several portfolios in his political career. In addition to being appointed Prime Minister, he has also held several important ministerial portfolios such as Defence, Buddha Sasana, Public Administration, Plantations, etc. He was Leader of the House of Parliament from August 1994 to October 2000 and was Leader of the Opposition for a brief period from December 2001 to January 2002. He is the father of Member of Parliament Hon. Vidura Wickramanayaka.,The funeral of Mr. Wickramanayaka will take place with full state sponsorship on the 31, of December 2016.",28-12-2016,Former Prime Minister Ratnasiri Wickramanayaka’s remains lay-in-state in Parliament
"Public Accounts Committee of Parliament organized a training programme for the officials of all the state institutions and local government authorities on 09,, 10, and 11, of January 2017. The purpose of this training programme was to obtain information online of all the state institutions and local government authorities which come under the purview of the Public Accounts Committee of the Parliament.,The training programme provided the basic knowledge to the officers who feed data to the computer programme and this process was co-ordinated by the Department of Information Systems & Management and the Public Accounts Committee of the Parliament.",17-01-2017,Training Programme on obtaining information of the Financial and Physical Performances of State Institutions online
"A workshop for youth parliamentarians was held on 27th February 2017 at the Committee Room No. 01 of the Parliamentary Complex under the patronage of Hon. Karu Jayasuriya, Speaker of the Parliament.,At this workshop, Secretary General of Parliament, Chief of Staff and Deputy Secretary General of Parliament and Assistant Secretaries General of Parliament made presentations on various topics related to Parliamentary Practice and Legislative Procedure. Thereafter, the Hon. Speaker delivered the keynote speech for the gathering.",01-03-2017,Workshop for Youth Parliamentarians
"A round-table discussion on ‘Speaker’s Role and Office’ was conducted by the Parliament of Sri Lanka in collaboration with the Westminster Foundation for Democracy with the participation of the Members of Parliament on the Chairman’s Panel and Senior Officials of the Parliament on 16 and 17 February 2017 in Negombo.,The prime objective was for Members of Parliament on the Chairman’s Panel to deepen their knowledge of the relevant Standing Orders and practices relating to Presiding Officers and to understand how other Parliaments approach similar challenges and opportunities. A delegation of UK parliamentarians and officials helped share United Kingdom experience and expertise about the role of Presiding Officers in Westminster style Parliaments.,The Hon. Karu Jayasuriya, Speaker of the Parliament noted the importance of such exchanges for expertise sharing, knowledge gaining and relationship building, amongst MPs, officials and Parliaments.,The inaugural session was graced by the presence of the Hon. Speaker, the Hon. Deputy Chairman of Committees, the Hon. Former Speaker, Members of Parliament on the Chairman’s Panel and Secretary General of Parliament. Baroness Frances D'Souza, Lords Speaker 2011-2016, Sir Nicholas Winterton, Senior Member formerly of the House of Commons Chairman's Panel, Crispin Poyser, Table Clerk, and Robin Ramsey, Adviser to the Assembly Speaker formed part of the UK delegation.,The Secretary General of Parliament acknowledged the support of Westminster Foundation for Democracy for its on-going collaboration with the Sri Lanka Parliament.",27-02-2017,Round-table discussion on 'Speaker’s Role and Office'
"A delegation headed by Ms. Nisha Biswal, Assistant Secretary of State for South and Central Asian Affairs visited Parliament of Sri Lanka on 13, July 2016. Mr. Tom Malinowski, Assistant Secretary of State for Democracy, Human Rights, and Labour also accompanied the delegation.,The delegation paid a courtesy call on Hon. Thilanga Sumathipala, Deputy Speaker at Parliamentary complex and attended the Luncheon meeting hosted by the Steering Committee Members of the Constitutional Assembly.",15-07-2016,Visit of the Assistant Secretaries of State of the United States
